_id	projectID	sampleID	isolation_source	source_type	host	collection_date	collected_by	locality	preservation	platform	sequencing_approach	barcode	run_date	run_directory	project_directory	if_repeated
652c4610312dae40112ee958	waterbird_microbiome	SX03208	fecal	Animal	Tringa glareola	2023-08-24	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode15	2023-12-07	waterbird_2	waterbird_microbiome	
652c4610312dae40112ee959	waterbird_microbiome	SX03212	fecal	Animal	Tringa glareola	2023-08-31	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode16	2023-12-07	waterbird_2	waterbird_microbiome	
652c4610312dae40112ee95a	waterbird_microbiome	SX03213	fecal	Animal	Tringa glareola	2023-08-31	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode17	2023-12-07	waterbird_2	waterbird_microbiome	
652c4610312dae40112ee95b	waterbird_microbiome	SX03214	fecal	Animal	Tringa glareola	2023-08-31	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode18	2023-12-07	waterbird_2	waterbird_microbiome	
652c4610312dae40112ee95c	waterbird_microbiome	SX03215	fecal	Animal	Tringa glareola	2023-08-31	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode19	2023-12-07	waterbird_2	waterbird_microbiome	
652c4610312dae40112ee95d	waterbird_microbiome	SX03216	fecal	Animal	Tringa glareola	2023-08-31	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode20	2023-12-07	waterbird_2	waterbird_microbiome	
652c4610312dae40112ee95e	waterbird_microbiome	SX03217	fecal	Animal	Tringa glareola	2023-08-31	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode21	2023-12-07	waterbird_2	waterbird_microbiome	
652c4610312dae40112ee95f	waterbird_microbiome	SX03218	fecal	Animal	Tringa glareola	2023-08-31	Ádám Lovas-Kiss	HU: Berettyóújfalu; Andaháza	DNA shield	Nanopore MinION	16S	barcode22	2023-12-07	waterbird_2	waterbird_microbiome	
6576f9a39735971c1d455c8d	waterbird_microbiome	zymod6305	standard	Other						Nanopore MinION	16S	barcode23	2023-12-07	waterbird_2	waterbird_microbiome	y
6576f9a39735971c1d455c8e	waterbird_microbiome	NFW	standard	Other						Nanopore MinION	16S	barcode24	2023-12-07	waterbird_2	waterbird_microbiome	n
