"Comparison","species","average","overall","sd","ratio","ava","avb","ord","cusum","p"
"Gallinago gallinago_Tringa glareola","Hydrogenophaga.laconesensis",0.00310519394383045,0.876652259679859,0.00486646453463245,0.638080052106035,0.00241141608385447,0.0259302973886142,1097,0.635763081848672,0.006
"Gallinago gallinago_Tringa glareola","Acinetobacter.guillouiae",0.00479575756240932,0.876652259679859,0.00580245529800077,0.826504870112776,0.0110923820994361,0.0319721162621595,176,0.637208131626387,0.001
"Gallinago gallinago_Tringa glareola","Herbaspirillum.huttiense",0.00563106320726655,0.876652259679859,0.00706190541659687,0.797385815170003,0.0123077142518635,0.0356005768857863,389,0.642912334773337,0.005
"Gallinago gallinago_Tringa glareola","Undibacterium.oligocarboniphilum",0.00430807995224284,0.876652259679859,0.00532156412421234,0.809551449853192,0.00458899089596082,0.0309728431473298,241,0.766812219684993,0.001
"Gallinago gallinago_Tringa glareola","Pseudomonas.alcaliphila",0.00283177987905504,0.876652259679859,0.00400888163292402,0.706376525512324,0.00448215418520008,0.0230824931601253,888,0.772450304804149,0.008
"Gallinago gallinago_Tringa glareola","Perlucidibaca.piscinae",0.00144151216620331,0.876652259679859,0.00300003118011657,0.480499061395522,0.00145533833154357,0.0118151981581378,656,0.785230528414712,0.027
"Gallinago gallinago_Tringa glareola","Thorsellia.anophelis",0.00310500464484808,0.876652259679859,0.00565419416691874,0.549150692951911,0,0.0294953121331125,909,0.816958949912898,0.005
"Gallinago gallinago_Tringa glareola","Candidatus.Accumulibacter.phosphatis",0.0015994297542775,0.876652259679859,0.00402433757526779,0.397439261583583,0,0.0131599881932957,892,0.824771532310237,0.036
"Gallinago gallinago_Tringa glareola","Acidovorax.caeni",0.00160220834107448,0.876652259679859,0.00333303754348923,0.480705158633525,0,0.0121124054260363,504,0.845027094588056,0.01
"Gallinago gallinago_Tringa glareola","Leptothrix.cholodnii",0.00120739530797023,0.876652259679859,0.00326316396049061,0.370007551747018,0,0.0108872750304205,596,0.847713681798618,0.049
"Gallinago gallinago_Tringa glareola","Pseudorhodobacter.sinensis",0.000661952019427393,0.876652259679859,0.0017334341765003,0.381873178919221,0,0.00815233398957818,476,0.853375204696906,0.05
"Gallinago gallinago_Tringa glareola","Sphingomonas.leidyi",0.00144545608018006,0.876652259679859,0.00355719954291727,0.406346639467584,0,0.010662917694175,363,0.85594969925502,0.03
"Gallinago gallinago_Tringa glareola","Cetobacterium.somerae",0.0154895693194964,0.876652259679859,0.016879234370495,0.917670137134434,0.104462977379627,0.0852489278748028,849,0.89871850418775,0.042
"Gallinago gallinago_Tringa glareola","Catellicoccus.marimammalium",0.0275510808797322,0.876652259679859,0.0301966078032016,0.912389929997738,0.227551516575718,0.0826544176232584,778,0.902828112331173,0.003
"Gallinago gallinago_Tringa glareola","Clostridium.colinum",0.021663325630679,0.876652259679859,0.0207852018073055,1.0422475485932,0.153705256763588,0.0268871137738963,218,0.903140170880628,0.001
"Gallinago gallinago_Tringa glareola","Enterococcus.cecorum",0.00411025015227254,0.876652259679859,0.00491356943764263,0.836510037038269,0.0311843453573113,0,203,0.90345212081458,0.025
"Gallinago gallinago_Tringa glareola","Laceyella.sacchari",0.00605603646956675,0.876652259679859,0.00652304982445113,0.928405674116758,0.0437818750875386,0.00858591640997556,373,0.903762001702396,0.003
"Gallinago gallinago_Tringa glareola","Enterococcus.hirae",0.00623245974073341,0.876652259679859,0.00712931648895868,0.874201580247665,0.0424586240396125,0.00209410573328569,952,0.904071653408383,0.008
"Gallinago gallinago_Tringa glareola","Enterococcus.faecium",0.0105658446436771,0.876652259679859,0.0108970673572748,0.969604417157552,0.0811396239210908,0.0250886147607191,665,0.904997398946692,0.002
"Gallinago gallinago_Tringa glareola","Clostridium.saudiense",0.0062620446780113,0.876652259679859,0.00635579329755125,0.985249894835934,0.0223502694105197,0.0476299306281639,694,0.907142910326277,0.007
"Gallinago gallinago_Tringa glareola","Andreesenia.angusta",0.0027212435424741,0.876652259679859,0.00459000891229851,0.59286236573153,0.00558657737308886,0.0241690973178918,523,0.925809107436998,0.008
"Gallinago gallinago_Tringa glareola","Clostridium.spiroforme",0.00162054565079442,0.876652259679859,0.00313051279520688,0.517661404634931,0,0.019078212782869,12,0.963253488792773,0.014
"Gallinago gallinago_Tringa glareola","Clostridium.saccharogumia",0.00103305020610927,0.876652259679859,0.00252404658749847,0.409283335428885,0,0.0123517727891003,978,0.96399996625604,0.023
"Gallinago gallinago_Tringa glareola","Anoxybacillus.gonensis",0.00199751128729034,0.876652259679859,0.00505828275281136,0.394899096176491,0,0.0164381349791564,1,0.965294475817388,0.032
"Gallinago gallinago_Tringa glareola","Mucispirillum.schaedleri",0.0175828145987332,0.876652259679859,0.0240221572534535,0.731941532695009,0.118660025828662,0.00789491600126082,971,0.97255568499411,0.041
"Gallinago gallinago_Tringa glareola","Chlorobium.phaeovibrioides",0.0021980796558514,0.876652259679859,0.00612468398272731,0.358888664631575,0,0.0199284985924819,565,0.981211163612147,0.048
"Gallinago gallinago_Tringa glareola","Mycolicibacterium.wolinskyi",0.0012696875395567,0.876652259679859,0.00305625443965641,0.415439082257642,0,0.011628310527296,709,0.999386483933995,0.028
